Neighbourhood,Year,Home price,Change in housing pricing,Low income population,Low income population percentage,Total Area,Total Population,Pop  25 - 34 years,Recent Immigrants,TTC Stops,Health Providers,Businesses,Social Housing Units,Rent Bank Applicants,Future_low_income_pop_per,Future_Change_housing_pricing 
South-Parkdale,Six,313958,0.503392663,2900,13.80,2.3,21005,4340,3735,44,17,506,1545,41,30.21,0.45213054
South-Riverdale,Six,303953,0.506522666,3755,15.37,9.6,24430,4210,1960,121,32,1284,1219,9,16.94,0.424072143
St-Andrew-Windfields,Six,496271,0.465292131,3170,18.05,7.3,17555,1790,1860,113,28,630,0,5,15.20,0.389597619
Steeles,Six,253029,0.399821861,4830,19.56,4.6,24705,3140,3790,87,10,257,0,7,18.69,0.319615538
Stonegate-Queensway,Six,347711,0.484193857,5545,23.29,7.9,23815,2805,1745,110,65,605,129,15,11.20,0.31883662
Tam-O-Shanter-Sullivan,Six,244631,0.402186124,6575,24.14,5.5,27240,3540,5290,73,52,343,985,13,24.67,0.286055324
The-Beaches,Six,391959,0.460397478,3250,15.92,3.6,20420,2905,575,60,21,537,237,11,9.16,0.371069423
Thistletown-Beaumonde-Heights,Six,248363,0.401984747,2205,22.21,3.4,9925,1300,950,45,10,236,447,14,17.66,0.263404774
Thorncliffe-Park,Six,227881,0.447295383,3875,21.59,3.1,17945,3005,5575,60,14,403,551,14,38.86,0.274279119
Trinity-Bellwoods,Six,392223,0.421648973,3200,19.27,1.7,16605,3595,1075,40,39,684,878,5,15.00,0.381405476
University,Six,488620,0.487771905,800,13.55,1.4,5905,1395,0,39,61,481,359,3,18.44,0.362160779
Victoria-Village,Six,246235,0.43004408,4025,23.61,4.7,17050,2485,2090,72,8,398,891,22,22.35,0.315450687
Waterfront-Communities,Six,374647.5,0.427332728,3130,12.03,7.6,26025,8760,1640,111,28,2895,3303,23,16.45,0.392125102
West-Hill,Six,185023,0.402061153,5030,19.62,9.6,25635,2940,1850,76,28,439,2089,30,24.22,0.244829021
West-Humber-Clairville,Six,201075,0.385529716,5780,17.92,30.09,32265,4865,3825,326,94,2550,960,38,13.93,0.29202039
Westminster-Branson,Six,291578,0.397745031,5885,24.12,3.7,24395,2960,5855,36,4,80,710,17,25.78,0.278614985
Weston,Six,214210,0.454815881,3295,20.00,2.6,16470,2395,1615,70,48,505,1146,71,23.25,0.24884926
Weston-Pellam-Park,Six,216552,0.459727268,1935,15.99,1.5,12095,1900,635,25,5,185,695,14,20.48,0.339410396
Wexford-Maryvale,Six,252692,0.325569562,6270,23.53,10.2,26655,3200,2130,161,63,961,579,34,15.30,0.27859212
Willowdale-East,Six,446013,0.414046846,6170,15.03,5,41060,9210,6425,66,63,816,208,7,24.86,0.371980189
Willowdale-West,Six,386298,0.393853015,3490,27.88,2.9,12520,1695,1195,32,32,326,527,2,19.29,0.319411439
Willowridge-Martingrove-Richview,Six,272461,0.311642797,5775,27.62,5.5,20920,2225,2020,81,30,182,675,24,12.81,0.270967221
Woburn,Six,206483,0.389166969,11425,21.78,12.2,40845,5450,9140,138,90,1020,2594,42,24.50,0.283660156
Woodbine-Corridor,Six,282930,0.416009369,2070,17.92,1.6,11550,1775,515,33,7,143,741,9,15.00,0.381896582
Woodbine-Lumsden,Six,245350,0.493905038,1600,19.87,1.2,8050,1185,345,33,1,57,203,8,16.16,0.364715712
Wychwood,Six,351531,0.457781962,2905,20.47,1.7,14200,2250,585,51,34,400,1142,10,16.30,0.340311381
Yonge-Eglinton,Six,482981,0.429242324,1750,16.67,1.6,10500,2350,385,43,58,645,149,8,10.92,0.358655931
Yonge-St-Clair,Six,660903,0.481925036,2485,22.12,1.2,11230,2460,635,23,52,511,0,7,11.29,0.339178367
York-University-Heights,Six,227400,0.420388889,4935,18.88,13.2,26140,4745,4135,219,61,2659,511,55,25.49,0.31176781
Yorkdale-Glen-Park,Six,264790,0.440023059,3800,25.62,5.9,14825,1775,1040,137,43,1522,782,5,16.61,0.340088372
Agincourt-North,Eleven,301801,0.285052479,5615,18.54,7.3,30280,3830,2935,94,20,353,77,6,21.11,0.533881597
Agincourt-South-Malvern-West,Eleven,321319,0.307455678,3905,17.76,7.9,21990,2775,2330,125,75,1378,172,12,22.37,0.539924499
Alderwood,Eleven,338277,0.338412234,1115,9.37,5,11900,1515,370,60,13,309,84,2,8.17,0.47248261
Annex,Eleven,813507,0.37270641,5565,19.07,2.8,29180,7185,1345,120,198,2328,779,6,17.18,0.435877012
Banbury-Don-Mills,Eleven,562066,0.369329643,3400,12.63,10,26910,2920,2055,128,65,834,304,13,13.38,0.527096462
Bathurst-Manor,Eleven,403200,0.307617716,2780,18.01,4.8,15435,2120,1690,69,41,244,385,6,16.73,0.507204861
Bay-Street-Corridor,Eleven,887351,0.576013925,5855,30.26,1.8,19345,6455,2235,126,187,4324,521,6,37.47,0.380771532
Bayview-Village,Eleven,553401,0.379969777,2830,16.01,5.2,17675,3090,2010,43,128,460,122,4,23.44,0.61756484
Bayview-Woods-Steeles,Eleven,486565,0.281351388,2655,19.62,4.1,13535,1250,980,37,10,93,170,2,17.75,0.46008858
Bedford-Park-Nortown,Eleven,670860,0.303086103,2805,12.10,5.5,23185,2145,1335,75,50,676,236,5,9.34,0.463291894
Beechborough-Greenbrook,Eleven,321441,0.291083263,1995,30.75,1.8,6490,1030,520,35,7,128,537,10,27.14,0.54880989
Bendale,Eleven,283524,0.305010633,5500,19.73,7.4,27870,3870,2815,118,84,853,508,19,22.75,0.463579803
Birchcliffe-Cliffside,Eleven,385985,0.340295502,3120,14.28,6,21860,2295,500,104,23,345,870,16,14.13,0.412430535
Black-Creek,Eleven,218144,0.219383221,6160,27.93,3.4,22060,3035,2700,94,36,306,1432,27,32.69,0.495750513
Blake-Jones,Eleven,418244,0.393779638,1880,24.22,0.9,7765,1215,370,11,12,133,658,4,24.39,0.480965656
Briar-Hill-Belgravia,Eleven,327210,0.332429329,2450,17.13,1.8,14295,2255,1580,45,30,477,328,9,16.90,0.518834999
Bridle-Path-Sunnybrook-York-Mills,Eleven,960839,0.266262871,705,8.09,8.8,8715,585,355,66,8,58,0,0,8.74,0.521877234
Broadview-North,Eleven,420396,0.320231388,2770,23.96,1.7,11565,1945,1035,44,10,129,238,9,22.26,0.543639806
Brookhaven-Amesbury,Eleven,282277,0.323330583,4235,23.81,3.5,17785,2615,1550,57,45,466,589,36,24.64,0.500100965
Caledonia-Fairbank,Eleven,350116,0.33565788,1590,16.14,1.5,9855,1550,855,37,1,92,16,4,14.11,0.545133613
Casa-Loma,Eleven,907768,0.328622446,1080,10.30,1.9,10485,1890,475,45,77,258,101,4,12.31,0.444176265
Centennial-Scarborough,Eleven,289077,0.291116004,865,6.61,5.4,13100,1235,380,44,5,126,139,1,6.21,0.484369217
Church-Yonge-Corridor,Eleven,565608,0.345839758,7480,26.39,1.4,28345,8795,2115,64,89,2443,3653,19,25.14,0.484961316
Clairlea-Birchmount,Eleven,303275,0.326389587,4595,18.55,7.4,24775,3560,2110,129,12,831,273,9,19.03,0.456513066
Clanton-Park,Eleven,444868,0.325799366,2220,15.19,4.2,14610,2005,1465,57,48,357,549,6,14.87,0.485227079
Cliffcrest,Eleven,301331,0.286035594,2675,17.03,7.1,15700,1485,635,69,8,200,497,10,17.73,0.48436437
Corso-Italia-Davenport,Eleven,354512,0.400060029,2230,16.23,1.9,13735,2340,655,73,52,420,93,5,13.34,0.458007063
Danforth,Eleven,366794,0.364180381,1325,14.03,1.1,9450,1420,165,53,53,414,715,2,14.07,0.463450874
Danforth-Village-East-York,Eleven,381603,0.378563791,2195,13.13,2.2,16710,2450,425,53,33,167,287,8,13.56,0.540483172
Don-Valley-Village,Eleven,389743,0.338913528,5870,21.95,4.1,26735,3740,4370,57,58,373,156,16,23.29,0.529174353
Dorset-Park,Eleven,275254,0.276362709,5030,20.65,6,24360,3440,2445,93,31,969,510,13,21.76,0.52211412
Dovercourt-Wallace-Emerson-Junction,Eleven,394147,0.343611193,6030,17.41,3.7,34635,7265,1695,137,27,890,1375,16,16.94,0.488903886
Downsview-Roding-CFB,Eleven,307942,0.308464983,6770,19.53,14.9,34650,5145,3600,166,88,985,527,36,19.29,0.458008326
Dufferin-Grove,Eleven,428686,0.38886153,2170,18.95,1.4,11450,2810,780,42,8,375,41,4,17.86,0.600269195
East-End-Danforth,Eleven,387338,0.402098054,3435,16.48,2.6,20840,2910,1075,89,46,516,1000,14,18.50,0.438418126
East-York,Eleven,382128,0.384296039,1070,11.74,2.3,9115,1100,220,74,3,134,78,4,13.48,0.494148558
Edenbridge-Humber-Valley,Eleven,576647,0.365659518,2150,14.39,5.5,14945,1660,750,63,10,153,0,10,10.30,0.389269345
Eglinton-East,Eleven,297050,0.265415664,6130,26.85,3.2,22830,2935,2705,61,19,296,865,33,25.36,0.480710318
Elms-Old-Rexdale,Eleven,227358,0.240366832,1890,19.79,2.9,9550,1165,540,29,1,67,463,14,23.21,0.476948249
Englemount-Lawrence,Eleven,423769,0.333991249,4525,20.49,3.6,22080,2785,2630,90,8,175,1688,9,20.85,0.498287982
Eringate-Centennial-West-Deane,Eleven,331149,0.29966326,2020,10.74,8.6,18805,1795,615,85,10,229,104,3,9.68,0.417739447
Etobicoke-West-Mall,Eleven,328527,0.310161793,2170,19.86,1.7,10925,1275,885,27,10,146,99,12,17.72,0.432211051
