Neighbourhood,Year ,Home price,Change in housing pricing,Low income population,Change in low income pop,Total Area,Total Population,Pop  25 - 34 years,Recent Immigrants,TTC Stops,Health Providers,Businesses,Social Housing Units,Rent Bank Applicants,Future_change_low_income_pop,Future_Change_housing_pricing 
Woodbine-Corridor,2006,282930,0.416009369,11470,-0.016374245,1.6,11550,1775,515,33,7,143,741,9,0.000467561,0.381896582
Woodbine-Lumsden,2006,245350,0.493905038,8020,-0.023494819,1.2,8050,1185,345,33,1,57,203,8,-0.03069286,0.364715712
Wychwood,2006,351531,0.457781962,13395,0.049829131,1.7,14200,2250,585,51,34,400,1142,10,-0.032146971,0.340311381
Yonge-Eglinton,2006,482981,0.429242324,10475,0.049508212,1.6,10500,2350,385,43,58,645,149,8,0.043959719,0.358655931
Yonge-St-Clair,2006,660903,0.481925036,11155,0.030299208,1.2,11230,2460,635,23,52,511,0,7,0.026939593,0.339178367
York-University-Heights,2006,227400,0.420388889,25890,-0.137597372,13.2,26140,4745,4135,219,61,2659,511,55,0.044635766,0.31176781
Yorkdale-Glen-Park,2006,264790,0.440023059,14175,0.029778194,5.9,14825,1775,1040,137,43,1522,782,5,-0.040817582,0.340088372
Agincourt-North,2011,301801,0.285052479,29930,-0.00050057,7.3,30280,3830,2935,94,20,353,77,6,-0.000911549,0.533881597
Agincourt-South-Malvern-West,2011,321319,0.307455678,21800,0.013172078,7.9,21990,2775,2330,125,75,1378,172,12,0.085998837,0.539924499
Alderwood,2011,338277,0.338412234,11860,-0.000418146,5,11900,1515,370,60,13,309,84,2,-0.03146746,0.47248261
Annex,2011,813507,0.37270641,27430,0.076460366,2.8,29180,7185,1345,120,198,2328,779,6,0.067898691,0.435877012
Banbury-Don-Mills,2011,562066,0.369329643,26525,0.006207542,10,26910,2920,2055,128,65,834,304,13,-0.024444078,0.527096462
Bathurst-Manor,2011,403200,0.307617716,15080,-0.008679736,4.8,15435,2120,1690,69,41,244,385,6,0.008438432,0.507204861
Bay-Street-Corridor,2011,887351,0.576013925,18530,0.194129806,1.8,19345,6455,2235,126,187,4324,521,6,0.415200898,0.380771532
Bayview-Village,2011,553401,0.379969777,17290,-0.089356555,5.2,17675,3090,2010,43,128,460,122,4,-0.107656768,0.61756484
Bayview-Woods-Steeles,2011,486565,0.281351388,13175,-0.086017186,4.1,13535,1250,980,37,10,93,170,2,-0.162994769,0.46008858
Bedford-Park-Nortown,2011,670860,0.303086103,22940,0.058287324,5.5,23185,2145,1335,75,50,676,236,5,0.084257969,0.463291894
Beechborough-Greenbrook,2011,321441,0.291083263,6450,-0.007103482,1.8,6490,1030,520,35,7,128,537,10,-0.005530013,0.54880989
Bendale,2011,283524,0.305010633,27115,0.254831383,7.4,27870,3870,2815,118,84,853,508,19,0.363627956,0.463579803
